2021-03-13 11:32:31.269 [main] INFO  Calculator - [SQ ROOT] - 3.0
2021-03-13 11:32:31.273 [main] INFO  Calculator - [RESULT - SQ ROOT] - 1.7320508075688772
2021-03-13 11:32:31.274 [main] INFO  Calculator - [SQ ROOT] - 4.0
2021-03-13 11:32:31.274 [main] INFO  Calculator - [RESULT - SQ ROOT] - 2.0
2021-03-13 11:32:31.275 [main] INFO  Calculator - [NATURAL LOG] - 1.0
2021-03-13 11:32:31.276 [main] INFO  Calculator - [RESULT - NATURAL LOG] - 0.0
2021-03-13 11:32:31.276 [main] INFO  Calculator - [NATURAL LOG] - 1.0
2021-03-13 11:32:31.276 [main] INFO  Calculator - [RESULT - NATURAL LOG] - 0.0
2021-03-13 11:32:31.278 [main] INFO  Calculator - [POWER - 2.0 RAISED TO] 2.0
2021-03-13 11:32:31.278 [main] INFO  Calculator - [RESULT - POWER] - 4.0
2021-03-13 11:32:31.278 [main] INFO  Calculator - [POWER - 2.0 RAISED TO] 3.0
2021-03-13 11:32:31.279 [main] INFO  Calculator - [RESULT - POWER] - 8.0
2021-03-13 11:32:31.279 [main] INFO  Calculator - [POWER - 2.0 RAISED TO] 3.0
2021-03-13 11:32:31.280 [main] INFO  Calculator - [RESULT - POWER] - 8.0
2021-03-13 11:32:31.280 [main] INFO  Calculator - [POWER - 4.0 RAISED TO] 3.0
2021-03-13 11:32:31.280 [main] INFO  Calculator - [RESULT - POWER] - 64.0
2021-03-13 11:32:31.281 [main] INFO  Calculator - [NATURAL LOG] - 2.4
2021-03-13 11:32:31.281 [main] INFO  Calculator - [RESULT - NATURAL LOG] - 0.8754687373538999
2021-03-13 11:32:31.285 [main] INFO  Calculator - [NATURAL LOG] - 2.1
2021-03-13 11:32:31.285 [main] INFO  Calculator - [RESULT - NATURAL LOG] - 0.7419373447293773
2021-03-13 11:32:31.286 [main] INFO  Calculator - [SQ ROOT] - 4.0
2021-03-13 11:32:31.286 [main] INFO  Calculator - [RESULT - SQ ROOT] - 2.0
2021-03-13 11:32:31.287 [main] INFO  Calculator - [SQ ROOT] - 1.0
2021-03-13 11:32:31.287 [main] INFO  Calculator - [RESULT - SQ ROOT] - 1.0
